vivienda;hogar;variedad;descripcion;id_unidad_medida_presentacion;cantidad_unidades_presentacion;contenido_empaque_presentacion;id_unidad_medida;cantidad_inicial;cantidad_final;consumo_exclusivo_hogar;factor_anual
400;1;16;ACEITE;57;1;1;57;0.65;0.1;0.55;277.006944444444
400;1;30;CHOCOLATE O COCOA;NA;NA;NA;2;4;0;4;277.006944444444
448;1;5;AVENA;NA;NA;NA;2;1;0;1;277.006944444444
448;1;8;CARNE DE RES;NA;NA;NA;2;3;0;3;277.006944444444
448;1;6;FIEDOS O SPAGUETTIS (PASTAS);NA;NA;NA;2;1;0;1;277.006944444444
448;1;7;ARROZ;97;1;50;2;0.25;0;0.25;277.006944444444
448;1;10;CARNE DE CERDO;NA;NA;NA;2;2;0;2;277.006944444444
448;1;11;PESCADO;NA;NA;NA;2;5;0;5;277.006944444444
448;1;15;HUEVOS;NA;NA;NA;1;30;15;15;277.006944444444
448;1;16;ACEITE;NA;NA;NA;57;0.5;0;0.5;277.006944444444
448;1;26;PAPAS;NA;NA;NA;2;5;1;4;277.006944444444
448;1;18;SALAMI;NA;NA;NA;2;1;0;1;277.006944444444
448;1;24;PLÁTANO VERDE;NA;NA;NA;1;30;0;30;277.006944444444
448;1;27;HABICHUELAS SUELTAS;NA;NA;NA;2;3;2;1;277.006944444444
448;1;29;AZUCARES;NA;NA;NA;2;3;0;3;277.006944444444
448;1;30;CHOCOLATE O COCOA;87;1;100;3;1;0;1;277.006944444444
315;1;5;AVENA;56;1;1;2;1;0;1;416.444999999999
315;1;16;ACEITE;57;1;1000;5;0.5;0;0.5;416.444999999999
373;1;2;GALLETAS DULCES;8;1;16;1;3;0;3;347.037499999999
373;1;3;GALLETAS SALADAS;23;23;34;3;1;0.5;0.5;347.037499999999
373;1;5;AVENA;56;1;650;3;1;0.5;0.5;347.037499999999
373;1;6;FIEDOS O SPAGUETTIS (PASTAS);8;1;400;3;2;0;2;347.037499999999
373;1;7;ARROZ;NA;NA;NA;2;16;6;10;347.037499999999
111;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;1;2;1;0;1;788.6658368756
63;1;1;PANES;NA;NA;NA;1;6;0;6;788.6658368756
63;1;2;GALLETAS DULCES;NA;NA;NA;1;30;6;24;788.6658368756
63;1;3;GALLETAS SALADAS;8;1;34;3;12;6;6;788.6658368756
63;1;6;FIEDOS O SPAGUETTIS (PASTAS);56;1;3;2;3;3;0;788.6658368756
63;1;7;ARROZ;NA;NA;NA;2;10;4;6;788.6658368756
88;1;1;PANES;NA;NA;NA;1;5;0;5;920.110143021533
63;1;8;CARNE DE RES;NA;NA;NA;2;3;1.5;1.5;788.6658368756
88;1;3;GALLETAS SALADAS;NA;NA;NA;1;10;0;10;920.110143021533
63;1;9;POLLO;NA;NA;NA;2;4;1;3;788.6658368756
88;1;7;ARROZ;NA;NA;NA;2;5;0;5;920.110143021533
63;1;10;CARNE DE CERDO;NA;NA;NA;2;2;0;2;788.6658368756
88;1;9;POLLO;8;1;4;2;1;0;1;920.110143021533
63;1;12;MARISCOS;NA;NA;NA;2;3;0;3;788.6658368756
88;1;13;LECHE LÍQUIDA;23;2;1;7;2;0;2;920.110143021533
63;1;13;LECHE LÍQUIDA;20;1;7;7;1;0;1;788.6658368756
63;1;15;HUEVOS;NA;NA;NA;1;4;0;4;788.6658368756
