variable,clase
manutencion_especie,numeric
manutencion_dinero,numeric
comer_es_primero,numeric
ilae,numeric
bonoluz,numeric
bonogas_chofer,numeric
bonogas_hogar,numeric
proteccion_vejez,numeric
estudiante_progreso,numeric
educacion_superior,numeric
policia_preventiva,numeric
marina_guerra,numeric
empresas_dinero_especie,numeric
ong_dinero_especie,numeric
otras_transf_mes,numeric
regalia_pension,numeric
remesas_ano,numeric
especie_ano,numeric
empresas_dinero_especie_ano,numeric
ong_dinero_especie_ano,numeric
empresas_becas_ano,numeric
estado_becas_ano,numeric
ong_becas_ano,numeric
indemnizacion_laboral,numeric
otro_ano,numeric
alq_inmueble,numeric
alq_local,numeric
arrendamiento_tierra,numeric
alq_vehiculos,numeric
alq_derecho_autor,numeric
alquiler_maquinaria,numeric
otros_alquileres,numeric
interes_prestamo,numeric
interes_ahorro,numeric
interes_certificados,numeric
dividendos_acciones,numeric
otros_intereses,numeric
herencia,numeric
indemnizacion_seguros,numeric
indemnizacion_otros_seguros,numeric
juegos_azar,numeric
recuperacion_dinero_prestado,numeric
prestamo_vivienda,numeric
otro_prestamo,numeric
indemnizacion_accidente_trab,numeric
indemnizacion_danos_tercero,numeric
venta_animales_dom,numeric
venta_acciones,numeric
retiro_ahorros,numeric
cobro_san,numeric
canje_puntos,numeric
bono_compra,numeric
otros_ocasionales,numeric
consumo_cultivos,numeric
consumo_crianza,numeric
consumo_pesca,numeric
consumo_preparados,numeric
pension_ext,numeric
intereses_ext,numeric
alquiler_ext,numeric
pago_servicios_ext,numeric
otros_ext,numeric
regalos_ext_frecuente,numeric
regalos_ext_ocasional,numeric
remesas_ext,numeric
hora_mensual_imp,numeric
nvl_salario_mensual_princ_imp_0,numeric
nvl_regalia_princ_imp_0,numeric
nvl_ganancia_mensual_agro_prin_imp_0,numeric
nvl_perdida_mensual_agro_princ_imp_0,numeric
nvl_ganancia_mensual_indep_pri_imp_0,numeric
nvl_salario_mensual_indep_prin_imp_0,numeric
nvl_pension_mensual_imp_0,numeric
nvl_regalia_pension_imp_0,numeric
quintil,numeric
