id_vivienda;id_hogar;id_hogar_unico;id_variedad;descripcion;id_unidad_medida_presentacion;id_unidad_medida;Q;cantidad_inicial;cantidad_final;factor_anual;unidad_a_convertir;fc_universal;fc_especifico;fc;descripcion_engih;enhance_id;fuente;tipo_equivalencia;validado;edible;PM
470;1;470_1;17;MANTEQUILLA;48;3;1;1.5;0.5;347.037499999999;48;NA;NA;NA;MANTEQUILLA;70216015;INCAP;requiere_revision;TRUE;1,00;7
470;1;470_1;18;SALAMI;NA;1;0.25;1;0.25;347.037499999999;1;NA;NA;NA;SALAMI;70207021;INCAP;sustituto_por_criterio;TRUE;1,00;7
470;1;470_1;28;HABICHUELAS ENLATADAS;63;4;1;1;0;347.037499999999;63;NA;NA;NA;HABICHUELAS ENLATADAS;70209057;INCAP;sustituto_por_criterio;TRUE;1,00;7
470;1;470_1;29;AZUCARES;56;2;0.5;1.5;0.5;347.037499999999;56;NA;NA;NA;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
470;1;470_1;30;CHOCOLATE O COCOA;87;4;0.5;1;0.5;347.037499999999;87;NA;NA;NA;CHOCOLATE O COCOA;70217047;INCAP;requiere_revision;TRUE;1,00;7
339;1;339_1;6;FIEDOS O SPAGUETTIS (PASTAS);56;3;1;1;0;415.510416666666;56;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
339;1;339_1;7;ARROZ;NA;2;10;15;5;415.510416666666;2;453.592;NA;453.592;ARROZ;70213002;INCAP;directa;TRUE;1,00;7
339;1;339_1;16;ACEITE;57;57;1;1;0;415.510416666666;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
339;1;339_1;25;GUINEITO VERDE;NA;1;8;8;0;415.510416666666;1;NA;NA;NA;GUINEITO VERDE;70212011;INCAP;directa;TRUE;0,66;7
339;1;339_1;27;HABICHUELAS SUELTAS;NA;2;1.5;1.5;0;415.510416666666;2;453.592;NA;453.592;HABICHUELAS SUELTAS;70209050;INCAP;directa;TRUE;1,00;7
